screen_id,captured_at_utc,screenshot,ui_xml,activity_dump,recording,navigation_path,required_starting_state,classification,notes
001_streamer_home_default,2026-08-15T00:19:30.6131946Z,evidence/screenshots/001_streamer_home_default.png,evidence/ui-xml/001_streamer_home_default.xml,evidence/activity/001_streamer_home_default_activity-top.txt,,Android launcher > IRL Pro,Existing signed-in/configured app data preserved; app launched normally,CONFIRMED,Idle rear-camera preview; defaults
002_settings_root,2026-08-15T00:20:30.9784020Z,evidence/screenshots/002_settings_root.png,evidence/ui-xml/002_settings_root.xml,evidence/activity/002_settings_root_activity-top.txt,,001 streamer home > Settings gear,Camera console open; tap settings gear,CONFIRMED,
003_settings_root_scrolled,2026-08-15T00:20:55.1108099Z,evidence/screenshots/003_settings_root_scrolled.png,evidence/ui-xml/003_settings_root_scrolled.xml,evidence/activity/003_settings_root_scrolled_activity-top.txt,,002 settings root > swipe upward,Settings root at top,CONFIRMED,
004_settings_root_bottom,2026-08-15T00:21:16.2294501Z,evidence/screenshots/004_settings_root_bottom.png,evidence/ui-xml/004_settings_root_bottom.xml,evidence/activity/004_settings_root_bottom_activity-top.txt,,003 settings root scrolled > swipe upward,Settings root middle position,CONFIRMED,
005_settings_root_final,2026-08-15T00:21:55.7415039Z,evidence/screenshots/005_settings_root_final.png,evidence/ui-xml/005_settings_root_final.xml,evidence/activity/005_settings_root_final_activity-top.txt,,004 settings root bottom > swipe upward,Settings root at final scroll position,CONFIRMED,
006_streamer_settings,2026-08-15T00:22:28.4507010Z,evidence/screenshots/006_streamer_settings.png,evidence/ui-xml/006_streamer_settings.xml,evidence/activity/006_streamer_settings_activity-top.txt,,002 settings root > Streamer,Settings root at top,CONFIRMED,
007_streamer_settings_chat_scrolled,2026-08-15T00:22:48.5097475Z,evidence/screenshots/007_streamer_settings_chat_scrolled.png,evidence/ui-xml/007_streamer_settings_chat_scrolled.xml,evidence/activity/007_streamer_settings_chat_scrolled_activity-top.txt,,006 streamer settings > swipe upward,Streamer options at top,CONFIRMED,
008_streamer_settings_dashboard,2026-08-15T00:23:08.9422623Z,evidence/screenshots/008_streamer_settings_dashboard.png,evidence/ui-xml/008_streamer_settings_dashboard.xml,evidence/activity/008_streamer_settings_dashboard_activity-top.txt,,007 streamer settings > swipe upward,Streamer options chat section middle,CONFIRMED,
009_streamer_settings_alerts,2026-08-15T00:23:25.3970380Z,evidence/screenshots/009_streamer_settings_alerts.png,evidence/ui-xml/009_streamer_settings_alerts.xml,evidence/activity/009_streamer_settings_alerts_activity-top.txt,,008 streamer settings > swipe upward,Streamer options around Other/Alert Dashboard sections,CONFIRMED,
010_streamer_settings_custom_page,2026-08-15T00:23:42.6341617Z,evidence/screenshots/010_streamer_settings_custom_page.png,evidence/ui-xml/010_streamer_settings_custom_page.xml,evidence/activity/010_streamer_settings_custom_page_activity-top.txt,,009 streamer settings > swipe upward,Streamer options alert-dashboard section,CONFIRMED,
011_streamer_settings_final,2026-08-15T00:23:58.4765607Z,evidence/screenshots/011_streamer_settings_final.png,evidence/ui-xml/011_streamer_settings_final.xml,evidence/activity/011_streamer_settings_final_activity-top.txt,,010 streamer settings > swipe upward,Streamer options near bottom,CONFIRMED,
012_custom_page_url_dialog,2026-08-15T00:25:04.0532687Z,evidence/screenshots/012_custom_page_url_dialog.png,evidence/ui-xml/012_custom_page_url_dialog.xml,evidence/activity/012_custom_page_url_dialog_activity-top.txt,,011 streamer options bottom > Custom Page > hide keyboard,Custom Page edit dialog open; keyboard dismissed; no value submitted,CONFIRMED,
013_alert_dashboard_scale_dialog,2026-08-15T00:25:26.9404016Z,evidence/screenshots/013_alert_dashboard_scale_dialog.png,evidence/ui-xml/013_alert_dashboard_scale_dialog.xml,evidence/activity/013_alert_dashboard_scale_dialog_activity-top.txt,,011 streamer options bottom > Alert dashboard scale > hide keyboard,Alert dashboard scale edit dialog open with existing value preserved,CONFIRMED,
014_chat_font_scale_dialog,2026-08-15T00:26:41.5519682Z,evidence/screenshots/014_chat_font_scale_dialog.png,evidence/ui-xml/014_chat_font_scale_dialog.xml,evidence/activity/014_chat_font_scale_dialog_activity-top.txt,,Streamer options > Chat font scale > hide keyboard,Chat font scale edit dialog open with existing value preserved,CONFIRMED,
015_streamer_platform_icons_enabled,2026-08-15T00:27:00.2297646Z,evidence/screenshots/015_streamer_platform_icons_enabled.png,evidence/ui-xml/015_streamer_platform_icons_enabled.xml,evidence/activity/015_streamer_platform_icons_enabled_activity-top.txt,,Streamer options > toggle Show platform icons on,Show platform icons initially off; reversible toggle test,CONFIRMED,"Platform-icons switch temporarily enabled, then restored"
016_bonding_settings,2026-08-15T00:27:22.3661592Z,evidence/screenshots/016_bonding_settings.png,evidence/ui-xml/016_bonding_settings.xml,evidence/activity/016_bonding_settings_activity-top.txt,,Settings root > Bonding,Settings root at top,CONFIRMED,
