flow_id,flow_name,entry_conditions,observed_path,result,coverage,evidence,safety_or_gap
F01,"Launch and lifecycle","App installed; saved defaults retained","Force-stop > LaunchActivity > camera initialization > live console > Home/Back > resume","Cold 330 ms; hot resume 119 ms; Back backgrounds task; settings persist",FULL,"screens 144-145; flow_002_cold_launch_actual.mp4; persistence-and-lifecycle.md","Launcher portion removed from retained video for privacy"
F02,"Settings hierarchy","Idle live console","Gear > settings root > scroll > categories > Back","All root categories and representative back-stack behavior mapped",FULL,"screens 002-005 and 119","No first-run state because app data was not cleared"
F03,"Streamer/chat/dashboard settings","Settings root","Streamer > chat, platform icons, dashboards, custom page, scale editors","Visible fields/defaults/dialogs mapped; temporary icon toggle restored",PARTIAL,"screens 006-015","No real usernames, API keys, login, chat traffic, or external pages"
F04,"Bonding configuration","Settings root","Bonding > modes > interface toggles/weights > temporary Wi-Fi weight change > restore","All visible controls/defaults mapped; weight persistence/restoration confirmed",PARTIAL,"screens 016-020; screens 132-134","No live SRTLA/bonded stream or link-failure behavior"
F05,"Outgoing connection creation","Settings root; no connections","Connections > New > generic form > RTMP fields/target types/auth > Twitch/Kick quick forms > cancel","Empty state, fields, options, disabled Save behavior, and quick setup dialogs mapped",PARTIAL,"screens 021-031; screen 142","No connection saved, credentials entered, backend contacted, or stream started"
F06,"Video configuration","Settings root","Video > scroll all sections > open every observed option dialog > reversible bitrate toggle > restore","Resolution/FPS/camera/orientation/encoder/stabilization/adaptive choices mapped",PARTIAL,"screens 032-064","No stream-side validation of codec/profile combinations; unsupported device outcomes unknown"
F07,"Audio configuration","Settings root","Audio > source/channels/bitrate/sample-rate dialogs > gain maximum > restore > processing","All visible choices and gain range mapped",PARTIAL,"screens 065-075; screen 137","No Bluetooth device pairing or AEC/NS acoustic effectiveness test"
F08,"Recording configuration and storage","Settings root","Recording > split/duration > snapshot options > Save to DocumentsUI > cancel","Defaults/options and system folder-picker handoff mapped",PARTIAL,"screens 076-082","No recording/snapshot file created; critical-battery stop and SAF write not tested"
F09,"Display guides and meter","Settings root","Display > grid on/off > margins on/off > ratio list > indent max/restore > meter hide/restore","All safely reversible visible states mapped and defaults restored",FULL,"screens 083-090","Quick-settings Lock Screen control intentionally not enabled"
F10,"Text/picture overlays","Settings root","Overlays > Text/Picture > layer list > built-in Timestamp activate/restore > new Text draft > blank-save validation > manage/selectors","List/editor/default template, composited Timestamp, selector dialogs, and validation mapped",PARTIAL,"screens 091-106","No picture URL/file load, image availability check, saved new layer, standby/pause trigger, or unsafe HTML test"
F11,"Web overlays","Overlays root","Web overlays > new draft > view mode/position/custom coordinates/size/scale > manage empty > discard","Form schema/defaults/options and empty manager mapped",PARTIAL,"screens 107-115; screen 143","No overlay saved or remote page loaded; geolocation/cookies/debugging untested"
F12,"Import/export and QR","Settings root","Import/Export > larix text dialog > cancel > Scan QR > install prompt > No","Import prefix and external scanner dependency mapped",PARTIAL,"screens 116-118","No settings payload imported/exported, QR scanned, or external package installed"
F13,"Advanced options","Settings root","Advanced > scroll all sections > Volume keys dialog > cancel","Visible switches, disabled capabilities, volume-key choices, WebView controls mapped",PARTIAL,"screens 120-127","Experimental, cookie clear, network bypass, USB camera, custom encoder buffer, geolocation, and status-bar effects not activated"
F14,"Help and About","Settings root","Help & support > About > OK","Help controls and About contents mapped",PARTIAL,"screens 128-129","Discord, debug-detail sharing, Reset, and USB-help website not activated"
F15,"Live-console operation","Idle live console; no connection","Quick panel all tabs > mute/restore > flip/restore > rear ultra-wide/restore > reload > Start > validation/cancel","Telemetry/control model, quick settings, log, reversible camera/audio states, reload toast, and no-connection guard mapped",PARTIAL,"screens 001 and 130-143","No broadcast, snapshot, torch, lock screen, tap-focus, target-bitrate adjustment, or notification action"

