"asset_id","asset_or_family","audit_screens","classification","source_or_replacement","shipping_status","notes"
"A001","Observed IRL Pro launcher/toast icon","143","ORIGINAL_RECREATION","Independent IRL Streamer ImageGen mark and adaptive launcher artwork","SHIPPING_IMPLEMENTED","Original raster is evidence only and does not ship; generation record is in ../branding/README.md"
"A002","Observed IRL Pro name and word mark","002;129","ORIGINAL_RECREATION","IRL Streamer display name","APPROVED_LOCAL","Distinct identity requested by the operator"
"A003","Camera preview imagery","001;084-086;095;130-145","GENERIC_REPLACEMENT","ImageGen new-image output copied to app/src/main/res/drawable-nodpi/preview_fixture.png","SHIPPING_IMPLEMENTED","Prompted neutral low-light 16:9 abstract camera-preview texture; no source screenshot supplied to generation"
"A004","Settings and back icons","002-129","SYSTEM_ICON","AndroidX Material icon library","SHIPPING_IMPLEMENTED","Match measured geometry and supply semantics"
"A005","Reload icon","001;143","SYSTEM_ICON","AndroidX Material refresh icon","SHIPPING_IMPLEMENTED","Accessible label: Reload chat and overlays"
"A006","Overflow icon","001;130-138","SYSTEM_ICON","AndroidX Material more-vertical icon","SHIPPING_IMPLEMENTED","Accessible label: Quick settings"
"A007","Snapshot icon","001","SYSTEM_ICON","AndroidX Material camera icon","SHIPPING_IMPLEMENTED","Local simulation only; creates no media"
"A008","Flip-camera icon","001;140","SYSTEM_ICON","AndroidX Material cameraswitch icon","SHIPPING_IMPLEMENTED","Local selected-lens transition"
"A009","Microphone icons","001;139","SYSTEM_ICON","AndroidX Material mic/mic-off icons","SHIPPING_IMPLEMENTED","State description supplied"
"A010","Battery telemetry glyph","001;130-145","SYSTEM_ICON","AndroidX Material battery charging icon","SHIPPING_IMPLEMENTED","Library glyph with audited placement; no source vector copied"
"A011","Audio meter bars","001;139","ORIGINAL_RECREATION","Independent functional Compose drawing","SHIPPING_IMPLEMENTED","Uses audited colors and geometry"
"A012","Grid and safe-margin guides","084;085;087-090","ORIGINAL_RECREATION","Independent geometry renderer","SHIPPING_IMPLEMENTED","Functional layout geometry"
"A013","Timestamp visual/template","093;095;103","ORIGINAL_RECREATION","Independent safe local timestamp formatter","SHIPPING_IMPLEMENTED","No arbitrary HTML execution"
"A014","Third-party service marks","006-010;023-031","GENERIC_REPLACEMENT","Text-only compatibility labels without logos","SHIPPING_IMPLEMENTED","No live service integration or brand artwork"
"A015","System sans-serif font","001-145","NOT_REQUIRED","Android system font","APPROVED_LOCAL","No font file is bundled"
"A016","SRTLA licensed behavior","016;129","NOT_REQUIRED","None; simulated local bonding settings only","BLOCKED","No original code or proprietary transport is included"
